"n","power","test","eps","eff"
6,0.0985140805930469,"ToT","1","4"
12,0.194279721471615,"ToT","1","4"
18,0.382769638091342,"ToT","1","4"
24,0.62111980330525,"ToT","1","4"
30,0.784240640904978,"ToT","1","4"
36,0.863209639621544,"ToT","1","4"
42,0.927264336142261,"ToT","1","4"
48,0.960794396222548,"ToT","1","4"
54,0.974320095518385,"ToT","1","4"
60,0.98713963631214,"ToT","1","4"
66,0.990651235458467,"ToT","1","4"
72,0.985695757169136,"ToT","1","4"
78,0.985979061289859,"ToT","1","4"
84,0.99459679980464,"ToT","1","4"
42,0.671922980387273,"PB","1","4"
45,0.730582897651709,"PB","1","4"
48,0.785294992770368,"PB","1","4"
51,0.834283082947266,"PB","1","4"
54,0.876165359414038,"PB","1","4"
57,0.910255475071532,"PB","1","4"
60,0.936750191634467,"PB","1","4"
63,0.956517855346889,"PB","1","4"
66,0.959383411126537,"PB","1","4"
69,0.962107605165422,"PB","1","4"
72,0.964693082632988,"PB","1","4"
75,0.967142785260182,"PB","1","4"
78,0.969459937799168,"PB","1","4"
81,0.971648030778955,"PB","1","4"
84,0.973710799172598,"PB","1","4"
6,0.541777101085063,"Public","1","4"
9,0.922143795879876,"Public","1","4"
12,0.991552631696738,"Public","1","4"
15,0.999275281251904,"Public","1","4"
18,0.999946662363932,"Public","1","4"
21,0.999996490279125,"Public","1","4"
24,0.999999788346741,"Public","1","4"
27,0.999999988113256,"Public","1","4"
30,0.999999999371867,"Public","1","4"
33,0.999999999968415,"Public","1","4"
36,0.999999999998494,"Public","1","4"
39,0.999999999999931,"Public","1","4"
42,0.999999999999997,"Public","1","4"
45,1,"Public","1","4"
48,1,"Public","1","4"
51,1,"Public","1","4"
54,1,"Public","1","4"
57,1,"Public","1","4"
60,1,"Public","1","4"
63,1,"Public","1","4"
66,1,"Public","1","4"
69,1,"Public","1","4"
72,1,"Public","1","4"
75,1,"Public","1","4"
78,1,"Public","1","4"
81,1,"Public","1","4"
84,1,"Public","1","4"
